Year,Lat,Long,Source
2016,37.746986784000,-122.395172800000,311
2016,37.746986944611,-122.419988404047,311
2016,37.746986944611,-122.419988404047,311
2016,37.746986944611,-122.419988404047,311
2015,37.747033307971,-122.424689751603,311
2015,37.747033307971,-122.424689751603,311
2013,37.747094415952,-122.425419749819,311
2016,37.747205154326,-122.403591635350,311
2015,37.747205154326,-122.403591635350,311
2014,37.747366175173,-122.405101283200,311
2015,37.747388977375,-122.424988016625,311
2015,37.747555508835,-122.422613917139,311
2016,37.747606811236,-122.390175009672,311
2015,37.747606811236,-122.390175009672,311
2015,37.747606811236,-122.390175009672,311
2014,37.747639025578,-122.458640998954,311
2016,37.747737595752,-122.411964243944,311
2014,37.747737595752,-122.411964243944,311
2016,37.747761901559,-122.403560927121,311
2016,37.747761901559,-122.403560927121,311
2016,37.747761901559,-122.403560927121,311
2016,37.747903345557,-122.403513123889,311
2015,37.747978427121,-122.418808868676,311
2013,37.748000019647,-122.422869206244,311
2015,37.748000019647,-122.422869206244,311
2015,37.748000019647,-122.422869206244,311
2013,37.748013380528,-122.422487269711,311
2014,37.748013380528,-122.422487269711,311
2015,37.748108857281,-122.418259904715,311
2015,37.748108857281,-122.418259904715,311
2015,37.748108857281,-122.418259904715,311
2015,37.748108857281,-122.418259904715,311
2015,37.748108857281,-122.418259904715,311
2015,37.748108857281,-122.418259904715,311
2015,37.748108857281,-122.418259904715,311
2016,37.748132538000,-122.390229205000,311
2014,37.748146249920,-122.422670488368,311
2014,37.748165582117,-122.418221233385,311
2014,37.748165582117,-122.418221233385,311
2014,37.748165582117,-122.418221233385,311
